Authors	Publication Date	Publisher	Description	Citations
Guosheng Lin, Chunhua Shen, Reid Ian, Anton van dan Hengel	2016	None	Abstract Recent advances in semantic image segmentation have mostly been achieved by training deep convolutional neural networks (CNNs). We show how to improve semantic segmentation through the use of contextual information; specifically, we explore'patch-patch'context between image regions, and'patch-background'context. For learning from the patch-patch context, we formulate Conditional Random Fields (CRFs) with CNN-based pairwise potential functions to capture semantic correlations between neighboring  ...	169
Junbin Liu, Sridha Sridharan, Clinton Fookes	2016/6/29	None	Abstract With recent advances in consumer electronics and the increasingly urgent need for public security, camera networks have evolved from their early role of providing simple and static monitoring to current complex systems capable of obtaining extensive video information for intelligent processing, such as target localization, identification, and tracking. In all cases, it is of vital importance that the optimal camera configuration (ie, optimal location, orientation, etc.) is determined before cameras are deployed as a suboptimal  ...	3
Zhibin Liao, Gustavo Carneiro	2016/3/7	None	Abstract: Deep feedforward neural networks with piecewise linear activations are currently producing the state-of-the-art results in several public datasets (eg, CIFAR-10, CIFAR-100, MNIST, and SVHN). The combination of deep learning models and piecewise linear activation functions allows for the estimation of exponentially complex functions with the use of a large number of subnetworks specialized in the classification of similar input examples. During the training process, these subnetworks avoid overfitting with an implicit  ...	7
Ben Letheren, Glen Montes, Tommaso Villa, Felipe Gonzalez	2016/3/5	None	Abstract: There is an increased interest on the use of UAVs for environmental research such as tracking bush fires, volcanic eruptions, chemical accidents or pollution sources. The aim of this paper is to describe the theory and results of a bio-inspired plume tracking algorithm. A method for generating sparse plumes in a virtual environment was also developed. Results indicated the ability of the algorithms to track plumes in 2D and 3D. The system has been tested with hardware in the loop (HIL) simulations and in flight using a CO2 gas  ...	3
Jürgen Leitner, William Chamberlain, Donald G Dansereau, Matthew Dunbabin, Markus Eich, Thierry Peynot, Jonathan Roberts, Raymond Russell, Niko Sünderhauf	2016/3	None	Abstract: We describe a hopping science payload solution designed to exploit the Moon's lower gravity to leap up to 20m above the surface. The entire solar-powered robot is compact enough to fit within a 10cm cube, whilst providing unique observation and mission capabilities by creating imagery during the hop. The LunaRoo concept is a proposed payload to fly onboard a Google Lunar XPrize entry. Its compact form is specifically designed for lunar exploration and science mission within the constraints given by  ...	2
Christopher Lehnert, Inkyu Sa, Christopher McCool, Ben Upcroft, Tristan Perez	2016/5/16	None	Abstract: This paper presents a method for estimating the 6DOF pose of sweet-pepper (capsicum) crops for autonomous harvesting via a robotic manipulator. The method uses the Kinect Fusion algorithm to robustly fuse RGB-D data from an eye-in-hand camera combined with a colour segmentation and clustering step to extract an accurate representation of the crop. The 6DOF pose of the sweet peppers is then estimated via a nonlinear least squares optimisation by fitting a superellipsoid to the segmented sweet pepper. The performance  ...	4
Huu Le, Tat-Jun Chin, David Suter	2016	None	Abstract Deformations of surfaces with the same intrinsic shape can often be described accurately by a conformal model. A major focus of computational conformal geometry is the estimation of the conformal mapping that aligns a given pair of object surfaces. The uniformization theorem en-ables this task to be acccomplished in a canonical 2D do-main, wherein the surfaces can be aligned using a M obius transformation. Current algorithms for estimating M obius transformations, however, often cannot provide satisfactory alignment  ...	0
	None	None	None	0
BG Vijay Kumar, Gustavo Carneiro, Ian Reid	2015/12/31	None	None	18
Piotr Koniusz, Anoop Cherian, Fatih Porikli	2016/4/1	None	Abstract In this paper, we explore tensor representations that can compactly capture higher-order relationships between skeleton joints for 3D action recognition. We first define RBF kernels on 3D joint sequences, which are then linearized to form kernel descriptors. The higher-order outer-products of these kernel descriptors form our tensor representations. We present two different kernels for action recognition, namely (i) a sequence compatibility kernel that captures the spatio-temporal compatibility of joints in one sequence against  ...	12
Piotr Koniusz, Anoop Cherian	2016	None	Abstract Super-symmetric tensors-a higher-order extension of scatter matrices-are becoming increasingly popular in machine learning and computer vision for modeling data statistics, co-occurrences, or even as visual descriptors. They were shown recently to outperform second-order approaches, however, the size of these tensors are exponential in the data dimensionality, which is a significant concern. In this paper, we study third-order super-symmetric tensor descriptors in the context of dictionary learning and sparse coding. For  ...	8
Laurent Kneip, Chris Sweeney, Richard Hartley	2016/3/7	None	Abstract: It is well-known that the relative pose problem can be generalized to non-central cameras. We present a further generalization, denoted the generalized relative pose and scale problem. It has surprising importance for classical problems such as solving similarity transformations for view-graph concatenation in hierarchical structure from motion and loop-closure in visual SLAM, both posed as a 2D-2D registration problem. The relative pose problem and all its generalizations constitute a family of similar symmetric eigenvalue  ...	1
Jae-Hak Kim, Cesar Cadena, Ian Reid	2016/5	None	Abstract: In this paper, we present a monocular Direct and Semi-dense SLAM (Simultaneous Localization And Mapping) system for rolling shutter cameras. In a rolling shutter camera, the pose is different for each row of each image, and this yields poor pose estimates and poor structure estimates when using a state-of-the-art semi-dense direct method designed for global shutter cameras. To address this issue in tracking, we model the smooth and continuous camera trajectory using a B-spline curve of degree k?? 1 for poses in the Lie  ...	3
Aisha Khan, Stephen Gould, Mathieu Salzmann	2016/10/8	None	Abstract We address the problem of counting cells in time-lapse microscopy images of developing human embryos. Cell counting is considered as an important step in analyzing biological phenomenon such as embryo viability. Traditional approaches to counting cells rely on hand crafted features and cannot fully take advantage of the growth in data set sizes. In this paper, we propose a framework to automatically count the number of cells in developing human embryos. The framework employs a deep convolutional neural  ...	2
Tor A Johansen, Tristan Perez	2016/6/7	None	Abstract: Autonomous ships require a sense-and-collision-avoidance functionality based on surveillance of the ocean surface in order to detect unmapped and potentially non-cooperative obstacles and hazards, and to engage into evasive manoeuvres to avoid impending collisions. In this paper, we study the concept of using an autonomous ship being assisted by an unmanned aerial surveillance system (UASS) that provides information to the ship in order to implement collision avoidance in compliance with the Convention on the  ...	3
Pan Ji, Hongdong Li, Mathieu Salzmann, Yiran Zhong	2016/6/26	None	Abstract Feature tracking is a fundamental problem in computer vision with applications in various tasks including 3D reconstruction and visual SLAM. While many methods have been devoted to making these tasks robust to noise and outliers, less attention has been attracted to improving the feature tracking itself. This paper introduces a novel multi-body feature tracker that takes advantage of the multi-body rigidity assumption to improve tracking robustness. A conventional approach to addressing this problem would consist of  ...	2
Xiaolei Hou, Xiaohua Wang, Robert Mahony	2016/7/27	None	Abstract: In this paper, we present a novel semi-autonomous shared control framework based on an admittance configured haptic interface for bilateral teleoperation of VTOL aerial robots. A haptics-aided path planner and a virtual fixture based dynamic kinesthetic boundary (VFDKB) are proposed to better assist pilots to navigate through complex environments and perceive obstacle and path boundary. By combining the autonomous path planner and VFDKB, the novel framework maximizes autonomy and maintains  ...	0
Xuefei He, Chuong Vinh Nguyen, Mrinalini Pratap, Yujie Zheng, Yi Wang, David R Nisbet, Melanie Rug, Alexander G Maier, Woei Ming Lee	2016/12/9	None	abstract Here we propose a region-recognition approach with iterative thresholding, which is adaptively tailored to extract the appropriate region or shape of spatial frequency. In order to justify the method, we tested it with different samples and imaging conditions (different objectives). We demonstrate that our method provides a useful method for rapid imaging of cellular dynamics in microfluidic and cell cultures.©(2016) COPYRIGHT Society of Photo-Optical Instrumentation Engineers (SPIE). Downloading of the abstract is permitted for  ...	0
Minh-Duc Hua, Jochen Trumpf, Tarek Hamel, Robert Mahony, Pascal Morin	2016/6/9	None	Abstract: This paper presents a new algorithm for online estimation of a sequence of homographies applicable to image sequences obtained from robotic vehicles equipped with vision sensors. The approach taken exploits the underlying Special Linear group structure of the set of homographies along with gyroscope measurements and direct point-feature correspondences between images to develop temporal filter for the homography estimate. Theoretical analysis and experimental results are provided to demonstrate the robustness  ...	0
Ben Harwood, Tom Drummond	2016	None	Abstract We present a new method for approximate nearest neighbour search on large datasets of high dimensional feature vectors, such as SIFT or GIST descriptors. Our approach constructs a directed graph that can be efficiently explored for nearest neighbour queries. Each vertex in this graph represents a feature vector from the dataset being searched. The directed edges are computed by exploiting the fact that, for these datasets, the intrinsic dimensionality of the local manifold-like structure formed by the elements of  ...	8
Afsaneh Ghasemi, Simon Denman, Sridha Sridharan, Clinton Fookes	2016/3/7	None	Abstract: Deep, intuitive understanding of facial motions has the potential to provide an intelligent facial expression system as well as a unique encoding of the dynamics of facial actions. The most promising existing approaches rely on extracting hand crafted features; and existing approaches typically work best in constrained conditions and do not generalise well to varying environmental conditions which make them poorly suited to applications such as real-time human robot interactions. In this paper, we propose a multi-label deep  ...	0
ZongYuan Ge, Chris McCool, Conrad Sanderson, Peng Wang, Lingqiao Liu, Ian Reid, Peter Corke	2016/11/30	None	Abstract: Fine-grained classification is a relatively new field that has concentrated on using information from a single image, while ignoring the enormous potential of using video data to improve classification. In this work we present the novel task of video-based fine-grained object classification, propose a corresponding new video dataset, and perform a systematic study of several recent deep convolutional neural network (DCNN) based approaches, which we specifically adapt to the task. We evaluate three-dimensional DCNNs, two- ...	0
ZongYuan Ge, Alex Bewley, Christopher McCool, Peter Corke, Ben Upcroft, Conrad Sanderson	2016/3/7	None	Abstract: We present a novel deep convolutional neural network (DCNN) system for fine-grained image classification, called a mixture of DCNNs (MixDCNN). The fine-grained image classification problem is characterised by large intra-class variations and small inter-class variations. To overcome these problems our proposed MixDCNN system partitions images into K subsets of similar images and learns an expert DCNN for each subset. The output from each of the K DCNNs is combined to form a single classification decision. In  ...	8
Ravi Garg, Gustavo Carneiro, Ian Reid	2016/10/8	None	Abstract A significant weakness of most current deep Convolutional Neural Networks is the need to train them using vast amounts of manually labelled data. In this work we propose a unsupervised framework to learn a deep convolutional neural network for single view depth prediction, without requiring a pre-training stage or annotated ground-truth depths. We achieve this by training the network in a manner analogous to an autoencoder. At training time we consider a pair of images, source and target, with small, known camera motion  ...	28
Kirill Frolov, Jurgen Fripp, Chuong V Nguyen, Robert Furbank, Geoff Bull, Peter Kuffner, Helen Daily, Xavier Sirault	2016/11/30	None	Abstract: In recent years, the use of imaging based, non-invasive, and non-destructive plant phenotyping platforms have become popular. The analysis of the imaging data acquired from these platforms is still challenging. Current, 2D methods are limited in the information available, while 3D methods are more challenging to analyze. Plants like wheat are particularly challenging due to their thin leaves which are often in contact or occluded. In this paper, we introduce a method to more reliably reconstruct the complete 3D mesh from  ...	0
Basura Fernando, Peter Anderson, Marcus Hutter, Stephen Gould	2016	None	Abstract We present hierarchical rank pooling, a video sequence encoding method for activity recognition. It consists of a network of rank pooling functions which captures the dynamics of rich convolutional neural network features within a video sequence. By stacking non-linear feature functions and rank pooling over one another, we obtain a high capacity dynamic encoding mechanism, which is used for action recognition. We present a method for jointly learning the video representation and activity classifier parameters. Our method  ...	28
Anders Eriksson, John Bastian, Tat-Jun Chin, Mats Isaksson	2016	None	Abstract In this paper we study large-scale optimization problems in multi-view geometry, in particular the Bundle Adjustment problem. In its conventional formulation, the complexity of existing solvers scale poorly with problem size, hence this component of the Structure-from-Motion pipeline can quickly become a bottle-neck. Here we present a novel formulation for solving bundle adjustment in a truly distributed manner using consensus based optimization methods. Our algorithm is presented with a concise derivation based on proximal splitting,  ...	2
Matthew Dunbabin	2016	None	Abstract Accurately quantifying total greenhouse gas emissions (eg methane) from natural systems such as lakes, reservoirs and wetlands requires the spatial-temporal measurement of both diffusive and ebullitive (bubbling) emissions. Traditional, manual, measurement techniques provide only limited localised assessment of methane flux, often introducing significant errors when extrapolated to the whole-of-system. In this paper, we directly address these current sampling limitations and present a novel multiple robotic boat  ...	4
Dingfu Zhou, Yuchao Dai, Hongdong Li	2016/6/19	None	Abstract: Recovering absolute scale (ie metric information) from monocular vision system is a very challenging problem yet is highly desirable for vision-based autonomous driving. This paper proposes a new method for scale recovery, based on the idea of knowing camera height (relative to ground-plane). While this idea of using known camera height is not new in this context, existing implementations of this idea suffer significantly from severe numerical instability arisen in the ground plane homography decomposition stage. Our novel  ...	0
Thanuja Dharmasiri, Vincent Lui, Tom Drummond	2016	None	Abstract: In this paper, we present MO-SLAM, a novel visual SLAM system that is capable of detecting duplicate objects in the scene during run-time without requiring an offline training stage to pre-populate a database of objects. Instead, we propose a novel method to detect landmarks that belong to duplicate objects. Further, we show how landmarks belonging to duplicate objects can be converted to first-order entities which generate additional constraints for optimizing the map. We evaluate the performance of MO-SLAM with  ...	0
Simone De Marco, Lorenzo Marconi, Tarek Hamel, Robert Mahony	2016/12/12	None	Abstract: This paper addresses the output regulation problem of rigid bodies whose kinematic configuration space lies on the Special Euclidean Group SE (3). Reference trajectories to be tracked are generated by an autonomous system, referred to as exosystem, defined on the Special Euclidean Group as well. Only partial relative pose measurements associated to the “natural” linear left group action on SE (3) along with the pose and the velocity of the controlled body are available. The proposed control action embeds a copy  ...	0
Yuchao Dai, Hongdong Li, Laurent Kneip	2016	None	Abstract The vast majority of modern consumer-grade cameras employ a rolling shutter mechanism. In dynamic geometric computer vision applications such as visual SLAM, the so-called rolling shutter effect therefore needs to be properly taken into account. A dedicated relative pose solver appears to be the first problem to solve, as it is of eminent importance to bootstrap any derivation of multi-view geometry. However, despite its significance, it has received inadequate attention to date. This paper presents a detailed investigation of the  ...	1
Yuchao Dai, Hongdong Li	2016/11/30	None	Abstract: Given multi-view correspondences, it has been shown that 3D non-rigid structure can be recovered through factorization based techniques. However, establishing reliable correspondences across multi-view images of non-rigid structure is not an easy task. Existing methods solve multi-view correspondences and 3D non-rigid structure in sequel, which cannot exploit the crossover constraints in each sub-problem (\ie, constraints in non-rigid structure has not been enforced in establishing multi-view correspondences and  ...	0
Tat-Jun Chin, Yang Heng Kee, Anders Eriksson, Frank Neumann	2016	None	Abstract The maximum consensus problem is fundamentally important to robust geometric fitting in computer vision. Solving the problem exactly is computationally demanding, and the effort required increases rapidly with the problem size. Although randomized algorithms are much more efficient, the optimality of the solution is not guaranteed. Towards the goal of solving maximum consensus exactly, we present guaranteed outlier removal as a technique to reduce the runtime of exact algorithms. Specifically, before conducting global  ...	3
William Chamberlain, Juergen Leitner, Tom Drummond, Peter Corke	2016/6/21	None	Abstract: Robotic vision is limited by line of sight and on-board camera capabilities. Robots can acquire video or images from remote cameras, but processing additional data has a computational burden. This paper applies the Distributed Robotic Vision Service, DRVS, to robot path planning using data outside line-of-sight of the robot. DRVS implements a distributed visual object detection service to distributes the computation to remote camera nodes with processing capabilities. Robots request task-specific object detection from  ...	1
Hakan Bilen, Basura Fernando, Efstratios Gavves, Andrea Vedaldi, Stephen Gould	2016	None	Abstract We introduce the concept of dynamic image, a novel compact representation of videos useful for video analysis especially when convolutional neural networks (CNNs) are used. The dynamic image is based on the rank pooling concept and is obtained through the parameters of a ranking machine that encodes the temporal evolution of the frames of the video. Dynamic images are obtained by directly applying rank pooling on the raw image pixels of a video producing a single RGB image per video. This idea is simple but  ...	58
Alex Bewley, Lionel Ott, Fabio Ramos, Ben Upcroft	2016/5/16	None	Abstract: This paper presents a self-supervised approach for learning to associate object detections in a video sequence as often required in tracking-by-detection systems. In this paper we focus on learning an affinity model to estimate the data association cost, which can adapt to different situations by exploiting the sequential nature of video data. We also propose a framework for gathering additional training samples at test time with high variation in visual appearance, naturally inherent in large temporal windows. Reinforcing the model  ...	7
Alex Bewley, Zongyuan Ge, Lionel Ott, Fabio Ramos, Ben Upcroft	2016/9/25	None	Abstract: This paper explores a pragmatic approach to multiple object tracking where the main focus is to associate objects efficiently for online and realtime applications. To this end, detection quality is identified as a key factor influencing tracking performance, where changing the detector can improve tracking by up to 18.9%. Despite only using a rudimentary combination of familiar techniques such as the Kalman Filter and Hungarian algorithm for the tracking components, this approach achieves an accuracy comparable to  ...	13
Soudeh Kasiri Behendi, Stuart Morgan, Clinton B Fookes	2016	None	Abstract Computer vision offers a growing capacity to detect and classify actions in a large range of sports. Since combat sports are highly dynamic and physically demanding, it is difficult to measure features of performance from competition in a safe and practical way. Also, coaches frequently wish to measure the performance characteristics of other competitors. For these reasons it is desirable to be able to measure features of competitive performance without using sensors or physical devices. We present a non-invasive  ...	4
Peter Anderson, Basura Fernando, Mark Johnson, Stephen Gould	2016/10	None	Abstract There is considerable interest in the task of automatically generating image captions. However, evaluation is challenging. Existing automatic evaluation metrics are primarily sensitive to n-gram overlap, which is neither necessary nor sufficient for the task of simulating human judgment. We hypothesize that semantic propositional content is an important component of human caption evaluation, and propose a new automated caption evaluation metric defined over scene graphs coined SPICE. Extensive evaluations across  ...	28
Guillaume Allibert, Robert Mahony, Moses Bangura	2016/5/16	None	Abstract: Flight performance of aerial robotic vehicles is critically dependent on the quality of the state estimates provided by onboard sensor systems. The attitude estimation problem has been extensively studied over the last ten years and the development of low complexity, high performance, robust non-linear observers for attitude has been one of the enabling technologies fueling the growth of small scale aerial robotic systems. The velocity aided attitude estimation problem, that is simultaneous estimation of attitude and linear velocity  ...	3
Iman Abbasnejad, Sridha Sridharan, Simon Denman, Clinton Fookes, Simon Lucey	2016/11/30	None	Abstract: In this paper the problem of complex event detection is addressed. Existing event detection methods are limited to features that are extracted from local spatial or spatio-temporal patches from the videos. However, this makes the model more vulnerable to the events that have similar concepts with different actions eg" Open drawer" and" Open cupboard". Furthermore, current methods typically assume that events have already been segmented from the video stream, and do not generalize well to events with unknown  ...	3
Thalaiyasingam Ajanthan, Richard Hartley, Mathieu Salzmann	2016	None	Abstract Multi-label submodular Markov Random Fields (MRFs) have been shown to be solvable using max-flow based on an encoding of the labels proposed by Ishikawa, in which each variable X_i is represented by l nodes (where l is the number of labels) arranged in a column. However, this method in general requires 2l^ 2 edges for each pair of neighbouring variables. This makes it inapplicable to realistic problems with many variables and labels, due to excessive memory requirement. In this paper, we introduce a variant of the max- ...	0
Lei Zhang, Wei Wei, Yanning Zhang, Chunhua Shen, Anton van den Hengel, Qinfeng Shi	2016/12	None	Abstract: The ability to accurately represent a hyperspectral image (HSI) as a combination of a small number of elements from an appropriate dictionary underpins much of the recent progress in hyperspectral compressive sensing (HCS). Preserving structure in the sparse representation is critical to achieving an accurate reconstruction but has thus far only been partially exploited because existing methods assume a predefined dictionary. To address this problem, a structured sparsity-based hyperspectral blind compressive sensing  ...	3
Jianfeng Dong, Xiao-Jiao Mao, Chunhua Shen, Yu-Bin Yang	2016/11/28	None	Abstract: Convolutional neural networks (CNNs) have shown their power on many computer vision tasks. However, there are still some limitations, including their dependency to large scale labeled training data and sensitivity to weight initialization. In this paper, we try to address these two problems by proposing a simple yet powerful CNN based denoising auto-encoder which can be trained end-to-end in an unsupervised manner. The network architecture we employ is a fully convolutional auto-encoder with symmetric encoder- ...	2
Haibo Yu, Liao Wu, Keyu Wu, Hongliang Ren	2016/7	None	Abstract: Minimally invasive surgery-based nasopharyngeal cancer treatment is promising, but currently, it is not a common treatment choice because of the absence of suitable tools. In this letter, a multi-channel concentric tube robot is proposed for the treatment of nasopharyngeal cancer based on natural orifice translumenal endoscopic surgery. The proposed system has three channels, ie, two manipulation channels and one vision channel, and all the three channels are confined by a 10 mm active sheath. The robot is  ...	7
	None	None	None	0
Jingxin Xu, Simon Denman, Clinton Fookes, Sridha Sridharan	2016/7/15	None	Abstract Video surveillance infrastructure has been widely installed in public places for security purposes. However, live video feeds are typically monitored by human staff, making the detection of important events as they occur difficult. As such, an expert system that can automatically detect events of interest in surveillance footage is highly desirable. Although a number of approaches have been proposed, they have significant limitations: supervised approaches, which can detect a specific event, ideally require a large number of samples  ...	7
Guobao Xiao, Hanzi Wang, Taotao Lai, David Suter	2016/12/31	None	Abstract In this paper, we propose a novel hypergraph based method (called HF) to fit and segment multi-structural data. The proposed HF formulates the geometric model fitting problem as a hypergraph partition problem based on a novel hypergraph model. In the hypergraph model, vertices represent data points and hyperedges denote model hypotheses. The hypergraph, with large and “data-determined” degrees of hyperedges, can express the complex relationships between model hypotheses and data points. In addition ...	0
Liao Wu, Jiaole Wang, Lin Qi, Keyu Wu, Hongliang Ren, Max Q-H Meng	2016/4	None	Abstract: Multirobot comanipulation shows great potential in surpassing the limitations of single-robot manipulation in complicated tasks such as robotic surgeries. However, a dynamic multirobot setup in unstructured environments poses great uncertainties in robot configurations. Therefore, the coordination relationships between the end-effectors and other devices, such as cameras (hand-eye calibration) and tools (tool-flange calibration), as well as the relationships among the base frames (robot-robot calibration) have to be  ...	2
Michael Warren, Peter Corke, Ben Upcroft	2016/4	None	Visual Odometry is a key technology for robust and accurate navigation of unmanned aerial vehicles in a number of low altitude applications (&lt; 120 m), particularly in environments where access to a global positioning system is possible, but not guaranteed. Navigating via vision alone reduces dependence on a global positioning system and other global navigation satellite systems, enhancing navigation robustness even in the presence of jamming, spoofing or long dropouts. To date, however, most demonstrations of visual  ...	8
Xiaoqin Wang, Yasar Ahmet Şekercioğlu, Tom Drummond, Enrico Natalizio, Isabelle Fantoni, Vincent Frémont	2016/4	None	Abstract: We propose a new method, called 3-D image warping-based depth video compression (IW-DVC), for fast and efficient compression of depth images captured by mobile RGB-D sensors. The emergence of low-cost RGB-D sensors has created opportunities to find new solutions for a number of computer vision and networked robotics problems, such as 3-D map building, immersive telepresence, or remote sensing. However, efficient transmission and storage of depth data still presents a challenging task to the  ...	0
Wenguan Wang, Jianbing Shen, Ling Shao, Fatih Porikli	2016/11	None	Abstract: In this paper, we show that large annotated data sets have great potential to provide strong priors for saliency estimation rather than merely serving for benchmark evaluations. To this end, we present a novel image saliency detection method called saliency transfer. Given an input image, we first retrieve a support set of best matches from the large database of saliency annotated images. Then, we assign the transitional saliency scores by warping the support set annotations onto the input image according to  ...	9
Guosheng Lin, Chunhua Shen, Ian Reid, Anton van den Hengel	2016	None	Abstract Recent advances in semantic image segmentation have mostly been achieved by training deep convolutional neural networks (CNNs). We show how to improve semantic segmentation through the use of contextual information; specifically, we explore'patch-patch'context between image regions, and'patch-background'context. For learning from the patch-patch context, we formulate Conditional Random Fields (CRFs) with CNN-based pairwise potential functions to capture semantic correlations between neighboring  ...	169
Ruwan B Tennakoon, Alireza Bab-Hadiashar, Zhenwei Cao, Reza Hoseinnezhad, David Suter	2016/2/1	None	Abstract: Identifying the underlying model in a set of data contaminated by noise and outliers is a fundamental task in computer vision. The cost function associated with such tasks is often highly complex, hence in most cases only an approximate solution is obtained by evaluating the cost function on discrete locations in the parameter (hypothesis) space. To be successful at least one hypothesis has to be in the vicinity of the solution. Due to noise hypotheses generated by minimal subsets can be far from the underlying model, even  ...	11
Gavin Suddrey, Christopher Lehnert, Markus Eich, Frederic Maire, Jonathan Roberts	2017/1	None	Abstract: Natural language provides a convenient means of communicating information, and as such, is an ideal medium for enabling nonexpert users to teach robots novel tasks. However, in order to take advantage of natural language, a series of challenges must first be overcome. These challenges include the need to a) generalize learnt tasks to novel scenarios without retraining, b) resolve problems encountered during task execution, and c) derive implicit information from knowledge about the domain. To solve these challenges,  ...	1
Peter Stratton, Michael Hasselmo, Michael Milford	2016/11/15	None	Abstract Complex brains evolved in order to comprehend and interact with complex environments in the real world. Despite significant progress in our understanding of perceptual representations in the brain, our understanding of how the brain carries out higher level processing remains largely superficial. This disconnect is understandable, since the direct mapping of sensory inputs to perceptual states is readily observed, while mappings between (unknown) stages of processing and intermediate neural states is not.  ...	1
Geoff Stacey, Robert Mahony	2016/2	None	Abstract: In this technical note, we present a framework for the formation control of dynamic vehicles in R 3, using partial measurements of relative position. The proposed control scheme implements virtual mechanical couplings on the available sensor measurements, and is developed using a passivity-based design approach with considerable insight from the bondgraph modelling formalism. In particular, we present a novel passive adaptive compensation technique to estimate the unknown state information required for the key  ...	2
Whye Leon Seng, Jan Carlo Barca, Y Ahmet Şekercioğlu	2016/6	None	Abstract A distributed control mechanism for ground moving nonholonomic robots is proposed. It enables a group of mobile robots to autonomously manage formation shapes while navigating through environments with obstacles. The mechanism consists of two stages, with the first being formation control that allows basic formation shapes to be maintained without the need of any inter-robot communication. It is followed by obstacle avoidance, which is designed with maintaining the formation in mind. Every robot is  ...	2
Ingo Schiffner, Tristan Perez, Mandyam V Srinivasan	2016/9/28	None	Abstract We have investigated how birds avoid mid-air collisions during head-on encounters. Trajectories of birds flying towards each other in a tunnel were recorded using high speed video cameras. Analysis and modelling of the data suggest two simple strategies for collision avoidance:(a) each bird veers to its right and (b) each bird changes its altitude relative to the other bird according to a preset preference. Both strategies suggest simple rules by which collisions can be avoided in head-on encounters by two agents, be they  ...	1
Sajib Kumar Saha, Basura Fernando, Jorge Cuadros, Di Xiao, Yogesan Kanagasingam	2017/3/7	None	Abstract: Purpose To develop a computer based method for the automated assessment of image quality in the context of diabetic retinopathy (DR) to guide the photographer. Methods A deep learning framework was trained to grade the images automatically. A large representative set of 7000 color fundus images were used for the experiment which were obtained from the EyePACS that were made available by the California Healthcare Foundation. Three retinal image analysis experts were employed to categorize these  ...	0
Inkyu Sa, Zongyuan Ge, Feras Dayoub, Ben Upcroft, Tristan Perez, Chris McCool	2016/8/3	None	This paper presents a novel approach to fruit detection using deep convolutional neural networks. The aim is to build an accurate, fast and reliable fruit detection system, which is a vital element of an autonomous agricultural robotic platform; it is a key element for fruit yield estimation and automated harvesting. Recent work in deep neural networks has led to the development of a state-of-the-art object detector termed Faster Region-based CNN (Faster R-CNN). We adapt this model, through transfer learning, for the task of fruit detection using  ...	7
Jhony K Pontes, Alceu S Britto, Clinton Fookes, Alessandro L Koerich	2016/6/30	None	Abstract Age estimation from facial images is increasingly receiving attention to solve age-based access control, age-adaptive targeted marketing, amongst other applications. Since even humans can be induced in error due to the complex biological processes involved, finding a robust method remains a research challenge today. In this paper, we propose a new framework for the integration of Active Appearance Models (AAM), Local Binary Patterns (LBP), Gabor wavelets (GW) and Local Phase Quantization (LPQ) in order to  ...	10
Edward Pepperell, Peter Corke, Michael Milford	2016/8	None	Vision-based place recognition is becoming an increasingly viable component of navigation systems for autonomous robots and personal aids. However, attaining robustness to variations in environmental conditions—such as time of day, weather and season—and camera viewpoint remains a major challenge. Featureless, sequence-based place recognition techniques have demonstrated promise, but often rely on long image sequences, manually-tuned parameters and exhaustive sequence match searching  ...	3
	None	None	None	0
	None	None	None	0
	None	None	None	0
